InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,decimalLatitude,decimalLongitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
CAS,ICH,97400,2,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH,,-41.4757690000,-72.9484410000,-41.4757690000,-72.9484410000,4658.00000000000000,,Chile,,,,,Puerto Montt.,,,1919,2,23,"Eigenmann, Carl H.",,,PreservedSpecimen,Irwin Exped.,1999-07-08 00:00:00.0
CAS,ICH,97401,3,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH,,-41.3000000000,-72.9500000000,-41.3000000000,-72.9500000000,,,Chile,Los Lagos,,,,"Puerto Varas (74 m elev.): either creek through town, or estero into Lago Llanquihue",,,1919,3,12,"Eigenmann, Carl H.",,,PreservedSpecimen,Irwin Expedition,2002-07-03 00:00:00.0
CAS,ICH,97402,11,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH; radiograph,,-41.1731930000,-72.4469420000,-41.1731930000,-72.4469420000,385.00000000000000,,Chile,,,,,Falls of Petrohue.,,,1919,3,8,"Eigenmann, Carl H.",,,PreservedSpecimen,Irwin Exped.,2018-06-13 16:23:06.0
CAS,ICH,97403,11,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH; radiograph,,-40.5833330000,-73.1500000000,-40.5833330000,-73.1500000000,,,Chile,Los Lagos,,,,"R. Rahue, Osorno; 25 m elev.",,,1919,3,14,"Eigenmann, Carl H.",,,PreservedSpecimen,Irwin Expedition.,2018-06-13 16:23:13.0
CAS,ICH,97404,1,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH; radiograph,,-39.8120090000,-73.2213290000,-39.8120090000,-73.2213290000,951.00000000000000,,Chile,,,,,"Estero Santa Rosa, near Valdivia.",,,,,,"Eigenmann, Carl H.",,"Coordinates at Santa Rosa-Las Animas, near Valdivia.",PreservedSpecimen,Irwin Exped.,2018-06-13 16:23:27.0
CAS,ICH,97405,4,Aplochiton taeniatus,Galaxiidae,alc-75% EtOH; radiograph,,-39.8313370000,-73.3405960000,-39.8313370000,-73.3405960000,3169.00000000000000,,Chile,,,,,Estero Cutipai.,,,1919,2,1,"Eigenmann, Carl H.",,"Polygon covers Estero Cutipay, below Valdivia.",PreservedSpecimen,Irwin Exped.,2018-06-13 16:23:20.0
CAS,SU,273,1,Aplochiton zebra,Galaxiidae,alc-75% EtOH,,-52.3750000000,-69.3666670000,-52.3750000000,-69.3666670000,,,Chile,,,,,"Strait of Magellan, ",,29.5 fa,1888,1,18,U.S. Fish Commission,,,PreservedSpecimen,Sta. 2775,2012-04-23 15:13:53.0
CAS,ICH,27839,1,Diplomystes chilensis,Diplomystidae,alc-75% EtOH,,-33.4762430000,-70.6667100000,-33.4762430000,-70.6667100000,21647.00000000000000,,Chile,,,,,Santiago market.,,,,,,"Eigenmann, C. H.; Murdock",,"Coordinates at Santiago, error covers town.",PreservedSpecimen,Irwin Expedition,2016-08-16 15:02:51.0
CAS,ICH,30875,2,Diplomystes nahuelbutaensis,Diplomystidae,alc-75% EtOH,,-36.8166670000,-73.0500000000,-36.8166670000,-73.0500000000,,,Chile,Biobio Region,,,,"Lower end of Estero Nonguen, into Rio Andalien on grounds of agricultural college at edge of Concepcion; 90 m elev.",,,1919,3,20,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Bonner Zool. Monogr., No.24: 33, figs.8,10-18.",2013-06-28 00:00:00.0
CAS,ICH,30876,43,Galaxias platei,Galaxiidae,alc-75% EtOH; C&S-glycerine,,-39.8000000000,-72.4166670000,-39.8000000000,-72.4166670000,,,Chile,Los Lagos,,,,"Lago Rinihue, Estero Panqueco; 118 m elev.",,,1919,3,16,"Eigenmann, Carl H.",,,PreservedSpecimen,MISTAKEN FOR IU 15571; ONE SPEC. PARTIALLY STAINED (IN ETHYL).,2002-07-03 00:00:00.0
CAS,ICH,38644,47,Percichthys trucha,Percichthyidae,alc-75% EtOH; alc-75% EtOH; alc-75% EtOH; alc-75% EtOH,,-41.0833330000,-72.0333330000,-41.0833330000,-72.0333330000,,,Chile,Los Lagos,,,,"Lago Todos Santos, Peulla; 190 m elev.",,,1919,2,27,"Eigenmann, Carl H.",,,PreservedSpecimen,"ON LOAN: to Camm Swift, LACM; Inv. no. 77-1327.  3 spec. have been stained and dissected, in alc. in separate jar.",2018-12-20 17:41:06.0
