id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4556109","-41.05","-71.1833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556167","-40.9667","-71.35","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556134","-40.95","-71.55","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556102","-40.8167","-63","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556160","-40.7667","-71.65","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556112","-40.75","-71","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556166","-40.7167","-71.8","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556137","-40.7167","-71.0333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556175","-40.6833","-71.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
"4556117","-40.65","-71.4","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556184","-40.6333","-71.75","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","2","",""
