"occurrenceID","decimalLatitude","decimalLongitude","eventDate","scientificName","datasetName","institutionCode","collectionCode","license","rightsHolder","accessRights"
"4556276",-42.4167,-71.7667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556275",-42.3333,-71.6667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556217",-42.2333,-71.7667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556220",-42.1167,-71.6333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556314",-41.5667,-71.4833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556273",-41.5167,-71.6167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556312",-41.4981,-71.6919,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556197",-41.35,-71.6167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556313",-41.35,-71.55,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556311",-41.3333,-71.6,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556310",-41.3167,-71.7833,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556216",-41.3083,-71.6917,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556199",-41.2667,-71.6333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556214",-41.0667,-71.8,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560309",-53.8333,-67.8,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560279",-43.5,-71.25,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560344",-43.1333,-71.6,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560320",-42.9833,-71.5167,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560317",-42.45,-71.4833,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4560310",-41.3667,-71.55,NA,"Percichthys trucha","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556630",-47.5,-71.5833,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556647",-46.5333,-71.6167,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556664",-43.2667,-71.3333,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556663",-42.2167,-71.3833,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556662",-41.9667,-71.5333,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556660",-41.5,-71.6667,NA,"Hatcheria macraei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552605",-54.55,-68.3333,NA,"Aplochiton taeniatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552604",-51.8333,-70.5,NA,"Aplochiton taeniatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552600",-42.45,-71.6667,NA,"Aplochiton taeniatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552599",-42.2,-71.5,NA,"Aplochiton taeniatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552591",-42.1167,-71.6333,NA,"Aplochiton taeniatus","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552617",-54.55,-68.3333,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552615",-54.55,-67.8833,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552622",-43.1333,-71.6,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552614",-42.8333,-71.6333,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552620",-42.55,-71.6333,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552619",-42.45,-71.6667,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552613",-42.2,-71.5,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552618",-42.1,-71.6167,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4552610",-41.3667,-71.55,NA,"Aplochiton zebra","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559876",-43.1333,-71.6,NA,"Oncorhynchus mykiss","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4559847",-42.9833,-71.5167,NA,"Oncorhynchus mykiss","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
