bibliographicCitation,decimalLatitude,decimalLongitude,eventDate,year,canonicalName,scientificName,locality,stateProvince,references,associatedReferences,catalogNumber,institutionCode,recordedBy,samplingProtocol,individualCount
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-51.2378459998,-72.6795190001,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Toro, cuenca del río Serrano",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-51.2378459998,-72.6795190001,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Toro, cuenca del río Serrano",,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-52.563728,-71.677292,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Chorillo El Salto,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.110192,-70.88462,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Chorillo Tres Puentes o Estero Bitsch,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.037487,-70.905702,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Estero Chabunco,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.037487,-70.905702,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Estero Chabunco,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-51.313413,-72.752204,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Lago Maravilla,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-51.232116,-72.746684,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Lago Toro,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.402689,-70.990046,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Agua Fresca,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.402689,-70.990046,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Rio Agua Fresca,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.202709,-70.937653,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio de los Ciervos,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.231819,-70.942042,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Leña Dura,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-52.815589,-69.775974,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Oscar,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-51.902601,-71.593297,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Penitente,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-51.899133,-71.596957,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Rubens,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.643374,-70.954493,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio San Juan,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-52.649134,-70.334449,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Susana,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-52.649134,-70.334449,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Rio Susana,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.272676,-70.945,1954,1954,Salmo trutta,"Salmo trutta Linnaeus, 1758",Rio Tres Brazos,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-53.272676,-70.945,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)",Rio Tres Brazos,,,,,,,,
"Schaefer, E. 1954. Origen de las especies salmonideas en lo ríos magallanicos. Punta Arenas, Chile.",-52.608351,-71.508937,1954,1954,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Seno Skyring, ríos y chorillos que desembocan en el Seno Skyring",,,,,,,,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-43.50055556,-71.34694444,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Arroyo Cabeza de Vaca,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-43.1300556,-71.44025,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Arroyo Corintos,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-43.3096111,-71.44275,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Arroyo Frio,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-42.46276,-71.60776,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Lago Cholila,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-47.5769426,-71.3808446,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Río Blanco,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-42.0751389,-71.51769444,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Río Epuyén,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-41.5953889,-71.58094444,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Río Manso inferior,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Unmack, P. J., Barriga, J. P., Battini, M. A., Habit, E. M., & Johnson, J. B. (2012). Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations. Molecular Ecology, 21(4), 942–959. https://doi.org/10.1111/j.1365-294X.2011.05408.x",-43.22277778,-71.42138889,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Rio Nant y Fall,,,,,,Barriga JP & Battini MA,Pesca electrica,
