fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
90,FO:Peces:5245,Salvelinus fontinalis,Esquel,Chubut,Pacífico,Río Futaleufú,Laguna Terraplén ,76,"Grosman y Rudzik, 1990",DAP,Patagonian,-42.9833333333333,-71.5166666666667,1990,FO,Peces,5245,América del Sur,Argentina,No,,,,,,
91,FO:Peces:5246,Odontesthes hatcheri,Esquel,Chubut,Pacífico,Río Futaleufú,Laguna Terraplén ,76,"Grosman y Rudzik, 1990",DAP,Patagonian,-42.9833333333333,-71.5166666666667,1990,FO,Peces,5246,América del Sur,Argentina,No,,,,,,
92,FO:Peces:5863,Aplochiton zebra,Lago Puelo,Chubut,Río Manso,Río Manso,Lago Puelo,75,"Cussac et al., 2004",DAP,Patagonian,-42.1,-71.6166666666667,2004,FO,Peces,5863,América del Sur,Argentina,No,,,,,,
93,FO:Peces:5864,Aplochiton zebra,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Cholila,76,"Cussac et al., 2004",DAP,Patagonian,-42.45,-71.6666666666667,2004,FO,Peces,5864,América del Sur,Argentina,No,,,,,,
94,FO:Peces:5865,Aplochiton zebra,Trevelín,Chubut,Pacífico,Río Futaleufú,Lago Rivadavia,76,"Cussac et al., 2004",DAP,Patagonian,-42.55,-71.6333333333333,2004,FO,Peces,5865,América del Sur,Argentina,No,,"-42.666160, -71.677583",,,-42.66616,-71.677583
95,FO:Peces:5866,Aplochiton zebra,San Martín de los Andes,Neuquén,Pacífico,Río Hua Hum,Lago Queñi,74,"Cussac et al., 2004",DAP,Patagonian,-40.1333333333333,-71.7,2004,FO,Peces,5866,América del Sur,Argentina,No,,remove,remove,,,
96,FO:Peces:5867,Galaxias maculatus,Trevelín,Chubut,Pacífico,Río Futaleufú,Lago Verde,76,"Cussac et al., 2004",DAP,Patagonian,-40.7666666666667,-71.65,2004,FO,Peces,5867,América del Sur,Argentina,No,,remove,remove,,,
97,FO:Peces:5870,Galaxias maculatus,San Martín de los Andes,Neuquén,Río Filo Hua Hum,Río Filo Hua Hum,Lago Rosales,74,"Cussac et al., 2004",DAP,Patagonian,-40.1,-71.3333333333333,2004,FO,Peces,5870,América del Sur,Argentina,No,,remove,remove,,,
98,FO:Peces:5871,Galaxias maculatus,Filo Hua Hum,Neuquén,Río Filo Hua Hum,Río Filo Hua Hum,Lago Filo Hua Hum,74,"Cussac et al., 2004",DAP,Patagonian,-40.4833333333333,-71.3166666666667,2004,FO,Peces,5871,América del Sur,Argentina,No,,remove,remove,,,
99,FO:Peces:5877,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Mascardi,75,"Cussac et al., 2004",DAP,Patagonian,-41.2666666666667,-71.6333333333333,2004,FO,Peces,5877,América del Sur,Argentina,No,,,,,,
100,FO:Peces:5879,Galaxias maculatus,Bariloche,Río Negro,Pacífico,Río Manso,Lago Hess,75,"Cussac et al., 2004",DAP,Patagonian,-41.35,-71.7333333333333,2004,FO,Peces,5879,América del Sur,Argentina,No,,,,,,
101,FO:Peces:5880,Galaxias maculatus,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"Cussac et al., 2004",DAP,Patagonian,-46.5,-71.35,2004,FO,Peces,5880,América del Sur,Argentina,No,,,,,,
102,FO:Peces:5887,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Laguna Martin,75,"Cussac et al., 2004",DAP,Patagonian,-41.5166666666667,-71.6166666666667,2004,FO,Peces,5887,América del Sur,Argentina,No,,"-41.4980555555556, -71.6919444444445",,,-41.4980555555556,-71.6919444444445
103,FO:Peces:5888,Galaxias platei,Bariloche,Río Negro,Pacífico,Río Manso,Lago Steffen,75,"Cussac et al., 2004",DAP,Patagonian,-41.5666666666667,-71.4833333333333,2004,FO,Peces,5888,América del Sur,Argentina,No,,"-41.5166666666667, -71.5833333333333",,,-41.5166666666667,-71.5833333333333
104,FO:Peces:5889,Galaxias platei,Cholila,Chubut,Pacífico,Río Futaleufú,Arroyo del Turco,76,"Cussac et al., 2004",DAP,Patagonian,-42.3333333333333,-71.6666666666667,2004,FO,Peces,5889,América del Sur,Argentina,No,,"-42.450995, -71.651862",,,-42.450995,-71.651862
105,FO:Peces:5890,Galaxias platei,Cholila,Chubut,Pacífico,Río Futaleufú,Arroyo Tigre,76,"Cussac et al., 2004",DAP,Patagonian,-42.4166666666667,-71.7666666666667,2004,FO,Peces,5890,América del Sur,Argentina,No,,"-42.460364, -71.761536",,,-42.460364,-71.761536
106,FO:Peces:5891,Galaxias platei,Cholila,Chubut,Pacífico,Río Futaleufú,Laguna Cisne,76,"Cussac et al., 2004",DAP,Patagonian,-42.6,-71.9166666666667,2004,FO,Peces,5891,América del Sur,Argentina,No,,,,,,
107,FO:Peces:5892,Galaxias platei,Cholila,Chubut,Pacífico,Río Futaleufú,Laguna Larga,76,"Cussac et al., 2004",DAP,Patagonian,-42.6833333333333,-71.45,2004,FO,Peces,5892,América del Sur,Argentina,No,,"-42.901415, -71.555364",,,-42.901415,-71.555364
108,FO:Peces:5893,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo Lepá,76,"Cussac et al., 2004",DAP,Patagonian,-42.8,-70.7333333333333,2004,FO,Peces,5893,América del Sur,Argentina,No,,remove. out of polygon,remove,,,
109,FO:Peces:5894,Galaxias platei,Esquel,Chubut,Pacífico,Río Futaleufú,Arroyo La Madera,76,"Cussac et al., 2004",DAP,Patagonian,-42.8833333333333,-70.7333333333333,2004,FO,Peces,5894,América del Sur,Argentina,No,,remove. out of polygon.,remove,,,
