"scientificName","scientificName_Old","canonicalName","IncludePewProAP","taxonRank","kingdom","phylum","order","family","genus","species","usageKey"
"Macrourus carinatus (Günther, 1878)","Macrourus carinatus (Günther, 1878)","Macrourus carinatus","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Macrourus","Macrourus carinatus","5215144"
"Macrourus holotrachys Günther, 1878","Macrourus holotrachys Günther, 1878","Macrourus holotrachys","0","SPECIES","Animalia","Chordata","Gadiformes","Macrouridae","Macrourus","Macrourus holotrachys","5215141"
"Nezumia Jordan, 1904","Nezumia Jordan, 1904","Nezumia","0","GENUS","Animalia","Chordata","Gadiformes","Macrouridae","Nezumia",NA,"2416858"
"Macrouridae","Macrouridae","Macrouridae","0","FAMILY","Animalia","Chordata","Gadiformes","Macrouridae",NA,NA,"6978"
"Macruronus magellanicus Lönnberg, 1907","Macruronus magellanicus","Macruronus magellanicus","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","2415616"
"Macruronus magellanicus Lönnberg, 1907","Macruronus magellanicus Lönnberg, 1907","Macruronus magellanicus","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Macruronus","Macruronus magellanicus","2415616"
"Macruronus novaezelandiae (Hector, 1871)","Macruronus novaezelandiae","Macruronus novaezelandiae","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","2415620"
"Macruronus novaezelandiae (Hector, 1871)","Macruronus novaezelandiae (Hector, 1871)","Macruronus novaezelandiae","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","2415620"
"Macruronus novaezelandiae magellanicus Lönnberg, 1907","Macruronus novaezelandiae magellanicus Lönnberg, 1907","Macruronus novaezelandiae magellanicus","0","SUBSPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Macruronus","Macruronus novaezelandiae","6486640"
"BOLD:AAB2174","BOLD:AAB2174","BOLD:AAB2174","0","UNRANKED","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","10220068"
"Merluccius australis (Hutton, 1872)","Merluccius australis","Merluccius australis","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","2415632"
"Merluccius australis (Hutton, 1872)","Merluccius australis (Hutton, 1872)","Merluccius australis","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","2415632"
"Merluccius polylepis Ginsburg, 1954","Merluccius polylepis","Merluccius polylepis","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","2415671"
"Merluccius polylepis Ginsburg, 1954","Merluccius polylepis Ginsburg, 1954","Merluccius polylepis","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","2415671"
"Merluccius gayi (Guichenot, 1848)","Merluccius gayi","Merluccius gayi","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","2415631"
"Merluccius gayi (Guichenot, 1848)","Merluccius gayi (Guichenot, 1848)","Merluccius gayi","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","2415631"
"Merluccius gayi gayi (Guichenot, 1848)","Merluccius gayi gayi (Guichenot, 1848)","Merluccius gayi gayi","0","SUBSPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","7193746"
"Merluccius gayi gayi (Guichenot, 1848)","Merluccius gayi gayi","Merluccius gayi gayi","0","SUBSPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","7193746"
"Merluccius hubbsi Marini, 1933","Merluccius hubbsi Marini, 1933","Merluccius hubbsi","0","SPECIES","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius hubbsi","2415636"
"Merluccius Rafinesque, 1810","Merluccius Rafinesque, 1810","Merluccius","0","GENUS","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius",NA,"2415629"
"Antimora rostrata (Günther, 1878)","Antimora rostrata (Günther, 1878)","Antimora rostrata","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Antimora","Antimora rostrata","2417115"
"Guttigadus kongi (Markle & Meléndez C., 1988)","Guttigadus kongi (Markle & Meléndez C., 1988)","Guttigadus kongi","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Guttigadus","Guttigadus kongi","2417070"
"Lotella marginata Macleay, 1881","Lotella marginata Macleay, 1881","Lotella marginata","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Lotella","Lotella rhacina","7452112"
"Lotella marginata Günther, 1878","Lotella marginata Günther, 1878","Lotella marginata","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Notophycis","Notophycis marginata","2417037"
"Notophycis marginata (Günther, 1878)","Notophycis marginata","Notophycis marginata","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Notophycis","Notophycis marginata","2417033"
"Notophycis marginata (Günther, 1878)","Notophycis marginata (Günther, 1878)","Notophycis marginata","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Notophycis","Notophycis marginata","2417033"
"Notophycis Sazonov, 2001","Notophycis Sazonov, 2001","Notophycis","0","GENUS","Animalia","Chordata","Gadiformes","Moridae","Notophycis",NA,"2417032"
"Salilota australis (Günther, 1878)","Salilota australis","Salilota australis","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Salilota","Salilota australis","2417051"
"Salilota australis (Günther, 1878)","Salilota australis (Günther, 1878)","Salilota australis","0","SPECIES","Animalia","Chordata","Gadiformes","Moridae","Salilota","Salilota australis","2417051"
"Salilota Günther, 1887","Salilota","Salilota","0","GENUS","Animalia","Chordata","Gadiformes","Moridae","Salilota",NA,"2417050"
"Salilota Günther, 1887","Salilota Günther, 1887","Salilota","0","GENUS","Animalia","Chordata","Gadiformes","Moridae","Salilota",NA,"2417050"
"Muraenolepis marmorata Günther, 1880","Muraenolepis marmorata Günther, 1880","Muraenolepis marmorata","0","SPECIES","Animalia","Chordata","Gadiformes","Muraenolepididae","Muraenolepis","Muraenolepis marmorata","2415427"
"Muraenolepis orangiensis Vaillant, 1888","Muraenolepis orangiensis Vaillant, 1888","Muraenolepis orangiensis","0","SPECIES","Animalia","Chordata","Gadiformes","Muraenolepididae","Muraenolepis","Muraenolepis orangiensis","2415421"
"Gadiformes","Gadiformes","Gadiformes","0","ORDER","Animalia","Chordata","Gadiformes",NA,NA,NA,"549"
"Gobiesox marmoratus Jenyns, 1842","Gobiesox marmoratus","Gobiesox marmoratus","0","SPECIES","Animalia","Chordata","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox marmoratus","2411259"
"Gobiesox marmoratus Jenyns, 1842","Gobiesox marmoratus Jenyns, 1842","Gobiesox marmoratus","0","SPECIES","Animalia","Chordata","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox marmoratus","2411259"
"Sicyases sanguineus Müller & Troschel, 1843","Sicyases sanguineus","Sicyases sanguineus","0","SPECIES","Animalia","Chordata","Gobiesociformes","Gobiesocidae","Sicyases","Sicyases sanguineus","2411337"
"Sicyases sanguineus Müller & Troschel, 1843","Sicyases sanguineus Müller & Troschel, 1843","Sicyases sanguineus","0","SPECIES","Animalia","Chordata","Gobiesociformes","Gobiesocidae","Sicyases","Sicyases sanguineus","2411337"
"Gobiesocidae","Gobiesocidae","Gobiesocidae","0","FAMILY","Animalia","Chordata","Gobiesociformes","Gobiesocidae",NA,NA,"7668"
