dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
subpesca-1,7618,6954,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7627,6963,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-2,7634,6970,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7635,6971,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,7636,6972,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,7659,6990,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7661,6992,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7665,6996,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,7671,7002,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,7689,7015,7,0,0.903089986991944,53.8461538461538,0,
agui,7690,7016,7,0,0.903089986991944,53.8461538461538,0,
subpesca-1,7697,7019,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7698,7020,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7804,7114,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7805,7115,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7807,7117,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7808,7118,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7841,7145,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,7848,7152,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-2,7851,7155,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,7985,7287,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-2,8454,7754,10,0,1.04139268515823,76.9230769230769,0,
subpesca-2,8455,7755,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,8456,7756,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,8531,7825,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,8533,7827,7,0,0.903089986991944,53.8461538461538,0,
subpesca-1,8542,7836,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,8651,7894,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,8652,7895,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
subpesca-1,8670,7911,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8672,7913,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8695,7933,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,8706,7943,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8723,7960,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8725,7962,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8729,7966,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,8769,7986,7,0,0.903089986991944,53.8461538461538,0,
subpesca-1,8770,7987,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8772,7989,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8775,7992,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8784,8001,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8787,8004,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8792,8008,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,8939,8153,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,8958,8172,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,9327,8539,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,9372,8579,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,9377,8582,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,9682,8883,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,9693,8889,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
mma2,9856,9037,7,0,0.903089986991944,53.8461538461538,0,
agui,9861,9042,8,0,0.954242509439325,61.5384615384615,0,
subpesca-1,9866,9045,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,9884,9058,7,0,0.903089986991944,53.8461538461538,0,
agui,9888,9062,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,9889,9063,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,9966,9137,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,10150,9311,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,10173,9334,10,0,1.04139268515823,76.9230769230769,0,
mma2,10175,9335,7,0,0.903089986991944,53.8461538461538,0,
agui,10264,9419,8,0,0.954242509439325,61.5384615384615,0,
agui,10265,9420,10,0,1.04139268515823,76.9230769230769,0,
subpesca-1,10304,9456,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,10310,9461,8,0,0.954242509439325,61.5384615384615,0,
agui,10311,9462,8,0,0.954242509439325,61.5384615384615,0,
agui,10312,9463,8,0,0.954242509439325,61.5384615384615,0,
mma2,11090,10222,7,0,0.903089986991944,53.8461538461538,0,
mma2,11092,10223,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,11094,10224,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
fishgis_metadatabase_ccorrea,11132,10262,6,2,0.367976785294594,46.1538461538462,15.3846153846154,ok
agui,11184,10306,7,0,0.903089986991944,53.8461538461538,0,
agui,11185,10307,7,0,0.903089986991944,53.8461538461538,0,
mma2,11201,10317,7,0,0.903089986991944,53.8461538461538,0,
agui,11272,10388,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11273,10389,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11274,10390,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11275,10391,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,99992,10420,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11308,10421,7,0,0.903089986991944,53.8461538461538,0,
agui,11317,10430,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11318,10431,7,0,0.903089986991944,53.8461538461538,0,
agui,11319,10432,7,0,0.903089986991944,53.8461538461538,0,
agui,11320,10433,7,0,0.903089986991944,53.8461538461538,0,
mma2,11327,10436,7,0,0.903089986991944,53.8461538461538,0,
agui,11374,10475,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11376,10477,7,0,0.903089986991944,53.8461538461538,0,
agui,11378,10479,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11379,10480,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11380,10481,7,0,0.903089986991944,53.8461538461538,0,
agui,11384,10485,8,0,0.954242509439325,61.5384615384615,0,
agui,11401,10496,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11408,10500,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11412,10503,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11495,10576,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11496,10577,7,0,0.903089986991944,53.8461538461538,0,
agui,11497,10578,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11498,10579,7,0,0.903089986991944,53.8461538461538,0,
agui,11499,10580,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11500,10581,7,0,0.903089986991944,53.8461538461538,0,
agui,11501,10582,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11502,10583,7,0,0.903089986991944,53.8461538461538,0,
subpesca-1,11513,10593,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,11514,10594,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
fishgis_metadatabase_ccorrea,11539,10614,7,1,0.602059991327962,53.8461538461538,7.69230769230769,
mma2,11543,10622,8,1,0.653212513775344,61.5384615384615,7.69230769230769,
agui,11567,10642,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,11568,10643,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
