CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
213,agui | MAguilar.Lit.Review.3,42.2/71.5,,,-42.2,-71.5,,,,,,,
214,agui | MAguilar.Lit.Review.19,coord 42.1936/71.5106,,,-42.1936,-71.5106,,,,,,,
215,agui | MAguilar.Lit.Review.81,coord correctas42.1913/71.5122,,,-42.1913,-71.5122,,,,,,,
216,agui | MAguilar.Lit.Review.60,coord  42.183333331/71.516666668,,,-42.183333331,-71.516666668,,,,,,,
217,agui | MAguilar.Lit.Review.82,coord  42.2/71.5,,,-42.2,-71.5,,,,,,,
218,agui | MAguilar.Lit.Review.1312,coord  41.51074/71.50699,,,-41.51074,-71.50699,,,,,,,
219,agui | MAguilar.Lit.Review.652,coord  41.3801/71.4971,,,-41.3801,-71.4971,,,,,,,
220,agui | MAguilar.Lit.Review.1321,coord  41.3801/71.4971,,,-41.3801,-71.4971,,,,,,,
221,agui | MAguilar.Lit.Review.622,coord  41.3801/71.4971,,,-41.3801,-71.4971,,,,,,,
222,agui | MAguilar.Lit.Review.639,coord correctas41.37788/71.49653,,,-41.37788,-71.49653,,,,,,,
223,agui | MAguilar.Lit.Review.640,coord  41.3767/71.4922,,,-41.3767,-71.4922,,,,,,,
224,agui | MAguilar.Lit.Review.407,coord 41.5167/71.5833,,,-41.5167,-71.5833,,,,,,,
225,agui | MAguilar.Lit.Review.420, 41.51624/71.58072; year 1997; recordedBy D. Milano,,,-41.51624,-71.58072,1997,,Daniela Milano,,,,
226,agui | MAguilar.Lit.Review.9,coord  41.3801/71.4971,,,-41.3801,-71.4971,,,,,,,
227,agui | MAguilar.Lit.Review.99,coord correctas41.37788/71.49653,,,-41.37788,-71.49653,,,,,,,
228,agui | MAguilar.Lit.Review.98,coord  41.3767/71.4922,,,-41.3767,-71.4922,,,,,,,
229,agui | MAguilar.Lit.Review.585,coord  43.535822/71.470886,,,-43.535822,-71.470886,,,,,,,
