"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
Río Bueno,Río Calle Calle - Rup,RCC23,-40.88405556,-72.36552778,39911,8,4,2009,Oncorhynchus kisutch,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,3,3
Río Bueno,Río Calle Calle - Rup,RCC23,-40.88405556,-72.36552778,39911,8,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,17,17
Río Bueno,Río Calle Calle - Rup,RCC23,-40.88405556,-72.36552778,39911,8,4,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Calle Calle - Rup,RCC23,-40.88405556,-72.36552778,39911,8,4,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,2,2
Río Bueno,Río Caunahue,RCAU,-39.94974722,-71.06373333,15/02/84,15,2,1984,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Río Collico,RCOLL,-40.3325,-72.22775,39928,25,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda, Gabriel Orellana",,6,6
Río Bueno,Río Cruce a los Juncos,RCLJ,-40.33906111,-73.40245556,39940,7,5,2009,Cheirodon australe,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,3,3
Río Bueno,Río Cruce a los Juncos,RCLJ,-40.33906111,-73.40245556,39940,7,5,2009,Galaxias maculatus,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,12,12
Río Bueno,Río Cumilahue,RC,-40.22621111,-72.15027222,01/03/83,1,3,1983,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Río Cumilahue,RC,-40.22621111,-72.15027222,01/04/90,1,4,1990,Salmo trutta,Angler,,1,1
Río Bueno,Río El Encanto,RETO,-40.75565,-72.46741667,39939,6,5,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,43,43
Río Bueno,Río El Encanto,RETO,-40.75565,-72.46741667,39939,6,5,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,22,22
Río Bueno,Río El Encanto,RETO,-40.75565,-72.46741667,39939,6,5,2009,Trichomycterus areolatus,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,1,1
