"decimalLongitude","decimalLatitude","locality","scientificName","year","bibliographicCitation","eventRemarks","license","datasetName","basisOfRecord"
-73.48566,-41.82911,"Hueihue","Oncorhynchus tshawytscha",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-73.72415,-42.58196,"Canal Lemuy","Oncorhynchus tshawytscha",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.59794,-42.04103,"Pichicolo","Oncorhynchus tshawytscha",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.72125,-44.7079,"Pto. Cisnes","Salmo salar",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.83693,-45.47359,"Pto. Chacabuco","Salmo salar",1995,"Doris Soto and Fernando Jara (1996) Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.. FIP IT 95-31 159pp.. Type of document: Unpub. Report Notes: NA","1995-1996  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.80285,-45.45417,"Ensenada Baja","Galaxias maculatus",1980,"Zama, Akira and Eduardo Cárdenas G. (1984) Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.. SERNAP - JICA 82pp.. Type of document: Unpub. Report Notes: NA","1980  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.71702,-45.40587,"Río Aysen","Aplochiton taeniatus",1980,"Zama, Akira and Eduardo Cárdenas G. (1984) Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.. SERNAP - JICA 82pp.. Type of document: Unpub. Report Notes: NA","1980  Geolocation: The position of the point is approximate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.08838,-45.57624,"Río Claro","Aplochiton zebra",1978,"Zama, Akira and Eduardo Cárdenas G. (1984) Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.. SERNAP - JICA 82pp.. Type of document: Unpub. Report Notes: NA","1978 Does not know what region Geolocation: Ambiguous","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.06869,-45.54818,"Río Simpson (Coyhaique)","Hatcheria macraei",1980,"Zama, Akira and Eduardo Cárdenas G. (1984) Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.. SERNAP - JICA 82pp.. Type of document: Unpub. Report Notes: NA","1980  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.14431,-45.50018,"Río Simpson (Huichalao)","Hatcheria macraei",1981,"Zama, Akira and Eduardo Cárdenas G. (1984) Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.. SERNAP - JICA 82pp.. Type of document: Unpub. Report Notes: NA","1981, 1982  Geolocation: The position of the point is approximate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
