decimalLongitude,decimalLatitude,Site_ID,ODBC:FishGIS_metaDatabase AllFish_Ref_ID,ODBC:FishGIS_metaDatabase AllFish_Author,ODBC:FishGIS_metaDatabase AllFish_OLD_SITE_ID,ODBC:FishGIS_metaDatabase AllFish_Site_Name,ODBC:FishGIS_metaDatabase AllFish_Notes,ODBC:FishGIS_metaDatabase AllFish_Site_Precision,ODBC:FishGIS_metaDatabase AllFish_Years,ODBC:FishGIS_metaDatabase AllFish_Species,ODBC:FishGIS_metaDatabase AllFish_Abund_Percent
-72.31108,-40.69777,"76","6",Doris Soto B.and Ivan Arismendi V.,"04.34",Río Manzano,,Based on coordenates.,"1999, 2000",Oncorhynchus mykiss,"100"
-72.23809,-40.66476,"77","6",Doris Soto B.and Ivan Arismendi V.,"04.35",Río Gol-Gol,Additional samplings reported in record of Soto 2002 (FIP 2000-24). No native fish found.,Not accurate.,"2000",Salmo trutta,"18,52"
-72.23809,-40.66476,"77","6",Doris Soto B.and Ivan Arismendi V.,"04.35",Río Gol-Gol,Additional samplings reported in record of Soto 2002 (FIP 2000-24). No native fish found.,Not accurate.,"2000",Salmo trutta,"18,52"
-72.41515,-40.62379,"78","6",Doris Soto B.and Ivan Arismendi V.,"04.36",Río Lican,"Additional samplings are reported in Soto 2002 (FIP 2000-24, but without details on native species.",Based on coordenates.,"1999, 2000, 2001",z Indetermined (see note),"0,26"
-72.41515,-40.62379,"78","6",Doris Soto B.and Ivan Arismendi V.,"04.36",Río Lican,"Additional samplings are reported in Soto 2002 (FIP 2000-24, but without details on native species.",Based on coordenates.,"1999, 2000, 2001",z Indetermined (see note),"0,26"
-72.43297,-40.72027,"79","6",Doris Soto B.and Ivan Arismendi V.,"04.37",Estero Ñilque,,Approximate.,"1999, 2000",Galaxias platei,"0,24"
-72.43297,-40.72027,"79","6",Doris Soto B.and Ivan Arismendi V.,"04.37",Estero Ñilque,,Approximate.,"1999, 2000",Galaxias platei,"0,24"
-72.40693,-40.71628,"80","6",Doris Soto B.and Ivan Arismendi V.,"04.38",Río Pescadero,,Based on coordinates.,"1999, 2000",Percichthys trucha,"17,72"
-72.40693,-40.71628,"80","6",Doris Soto B.and Ivan Arismendi V.,"04.38",Río Pescadero,,Based on coordinates.,"1999, 2000",Percichthys trucha,"17,72"
-72.31407,-40.32289,"81","7","Soto, D.","03.01",Lago Ranco,,The position of the point is approximate.,"2000, 2001",Percichthys trucha,"1,81"
-72.25151,-40.14920,"82","7","Soto, D.","03.02",Río Caunahue,,,"2001",Oncorhynchus mykiss,"100"
-72.25151,-40.14920,"82","7","Soto, D.","03.02",Río Caunahue,,,"2001",Oncorhynchus mykiss,"100"
-72.32137,-40.32961,"83","7","Soto, D.","03.05",Río Pitreño,Only relative abundance of salmonids are reported here. For details on salmonids and native species in the period 18 Nov 1999 and 09 May 2001 see record of Soto and Arismendi 2001 (FNDR). Details of native species caught in the period 28 Jun 2001 to 30 No,"Approximate, based on coordenates.","2000, 2001",Oncorhynchus tshawytscha,"0,9"
-72.32137,-40.32961,"83","7","Soto, D.","03.05",Río Pitreño,Only relative abundance of salmonids are reported here. For details on salmonids and native species in the period 18 Nov 1999 and 09 May 2001 see record of Soto and Arismendi 2001 (FNDR). Details of native species caught in the period 28 Jun 2001 to 30 No,"Approximate, based on coordenates.","2000, 2001",Oncorhynchus tshawytscha,"0,9"
-72.40029,-40.64855,"84","7","Soto, D.","03.06",Lago Puyehue,,The position of the point is approximate.,"2000, 2001",Percichthys trucha,"14,43"
-72.24316,-40.66599,"85","7","Soto, D.","03.08",Río Gol-Gol,No native fish found.,The position of the point is not accurate.,"2001",Salmo trutta,"21"
-72.24316,-40.66599,"85","7","Soto, D.","03.08",Río Gol-Gol,No native fish found.,The position of the point is not accurate.,"2001",Salmo trutta,"21"
-72.41430,-40.62172,"86","7","Soto, D.","03.11",Río Lican,Only relative abundance of salmonids reported although native species were also caught. See record of Soto and Arismandi 2001 (FNDR) for details on salmonids and native species for the period August 1999 to May 2001.,,"2000, 2001",?,?
-72.41430,-40.62172,"86","7","Soto, D.","03.11",Río Lican,Only relative abundance of salmonids reported although native species were also caught. See record of Soto and Arismandi 2001 (FNDR) for details on salmonids and native species for the period August 1999 to May 2001.,,"2000, 2001",?,?
-72.62394,-41.22011,"87","7","Soto, D.","03.12",Lago Llanquihue,,The position of the point is approximate.,"2000, 2001",Percichthys trucha,"11,99"
-72.62050,-41.22983,"88","7","Soto, D.","03.13",Río Blanco,Only relative abundance of salmonids reported although native species were also caught. For details on native species abundances for some months see Soto and Arismandi 2001 (FNDR).,,"2001",Oncorhynchus tshawytscha,"1,8"
-72.62050,-41.22983,"88","7","Soto, D.","03.13",Río Blanco,Only relative abundance of salmonids reported although native species were also caught. For details on native species abundances for some months see Soto and Arismandi 2001 (FNDR).,,"2001",Oncorhynchus tshawytscha,"1,8"
-73.00195,-41.25822,"89","7","Soto, D.","03.14",Río Maullín,Only relative abundance of salmonids reported although native species composed 67.1% of the fishing (see Soto and Arismandi 2001 (FNDR)).,The position of the point is not accurate.,"2000, 2001",Oncorhynchus mykiss,"100"
-73.00195,-41.25822,"89","7","Soto, D.","03.14",Río Maullín,Only relative abundance of salmonids reported although native species composed 67.1% of the fishing (see Soto and Arismandi 2001 (FNDR)).,The position of the point is not accurate.,"2000, 2001",Oncorhynchus mykiss,"100"
-72.76991,-41.27106,"90","7","Soto, D.","03.15",Río Pescado,,,"2001",Oncorhynchus tshawytscha,"0,2"
-72.76991,-41.27106,"90","7","Soto, D.","03.15",Río Pescado,,,"2001",Oncorhynchus tshawytscha,"0,2"
-73.00181,-41.25957,"91","7","Soto, D.","03.16",Río Maullín,,The position of the point is not accurate.,"2001",Percichthys trucha,"6,7"
-72.43206,-43.17613,"92","7","Soto, D.","03.17",Lago Yelcho,,The position of the point is approximate.,"2001",Oncorhynchus tshawytscha,"0,5"
-72.25224,-39.69574,"93","7","Soto, D.","03.18",Lago Panguipulli,,The position of the point is not accurate.,"2000",Salmo salar,"100"
-72.46283,-41.18385,"94","7","Soto, D.","03.19",Laguna Los Patos,,The position of the point is not accurate.,"2000, 2001",Oncorhynchus tshawytscha,"31,2"
-72.46283,-41.18385,"94","7","Soto, D.","03.19",Laguna Los Patos,,The position of the point is not accurate.,"2000, 2001",Oncorhynchus tshawytscha,"31,2"
-72.38705,-41.12001,"95","7","Soto, D.","03.20",Lago Todos Los Santos,,The position of the point is not accurate.,"2000",Salmo salar,"57,9"
-72.59523,-41.23216,"96","7","Soto, D.","03.24",Río Tepú,,,"2000, 2001",?,?
-72.59523,-41.23216,"96","7","Soto, D.","03.24",Río Tepú,,,"2000, 2001",?,?
-72.36269,-43.33927,"97","7","Soto, D.","03.25",Río Café,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Salmo trutta,"11"
-72.36269,-43.33927,"97","7","Soto, D.","03.25",Río Café,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Salmo trutta,"11"
-72.44188,-43.12616,"98","7","Soto, D.","03.26",Río Fierro,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Salmo trutta,"29"
-72.44188,-43.12616,"98","7","Soto, D.","03.26",Río Fierro,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Salmo trutta,"29"
-72.39943,-43.30142,"99","7","Soto, D.","03.27",Río Puente Naranjo 2,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Oncorhynchus mykiss,"100"
-72.39943,-43.30142,"99","7","Soto, D.","03.27",Río Puente Naranjo 2,,"The position of the point is not accurate; it is based on general figure.","2000, 2001",Oncorhynchus mykiss,"100"
