Ref_ID,Origin of data,Type of document,Author,Year,Title,Journal or Editorial,Vol  Pag,To be reviewed,OLD REF_ID,Notes
34,,Unpub. Report,"Estai, E.",1999,"Desarrollo y manejo de una pesquería fluvial de trucha café (Salmo trutta fario) en río penitente, XII región. Informe Final.",FONTEC-CORFO,Código N° 96-08521,,150,
35,,Paper,"Dazarola, G.",1972,Contributión a l’etude de la faune ichtyologique de la Region Valparaíso Aconcagua (Chili).,Annales de Limnologie,8(1): 87-100,,166,
36,,Paper,"Golusda, P.",1927,Aclimatación y cultivo de especies salmonídeas en Chile.,Bol. Soc. Biol. Concepción,1 (1 y 2): 80-100.,,171,
37,,Paper,"Oliver, C.",1949,Catalogo de los peces fluviales de la ciudad de Concepción.,Boletin de la Sociedad de Biología de Concepción.,24: 51-60.,,172,
38,,EIA,Geotécnica consultores.,"1992, 1994",Estudio de Impacto Ambiental (EIA) Mina El Abra.,CONAMA,,"X La metodología y detalle de resultados en el anexo E, detalle de orestias en anexo D.",176,
39,,Paper,"Campos, H.",1985,Distribution of the fishes in the andean rivers in the South of Chile.,Archivs fûr Hydrobiologie,104(2):169-191.,,177,
40,,Paper,"Ruiz, VH., MT López, HI Moyano y M Man",1993,"Ictiología del Alto Biobío: aspectos taxonómicos, alimentarios, reproductivos, y ecológicos con una discusión sobre la hoya.",Gayana Zoológica,57(1): 77-88,,179,
41,,Paper,Urzúa et al.,1977,"Alimentación natural de Basilichthys australis (Eigenmann) en Tejas Verdes, Chile. (Atheriniformes, Atherinidae).","Biología Pesquera, Chile",9: 45-61,,181,
42,,Paper,Moreno y Moran,1981,"Sobre la introducción de Gambusia affinis holbrooki (Girard) y Carassius carassius (Linnaeus) en el río Maipo, Chile.",Boletín de la Sociedad de Biología de Concepción.,52: 95-102,,182,
43,,EIA,Geotécnica Consultores,1994,Estudio de impacto Ambiental (EIA) proyecto hidroeléctrico Alto Cachapoal.,CONAMA,,review position of the points based on PC: EIA Alto Cachapoal-fig. 4.5 mapas (folder w/pics.),183,
